2020,2021,2022,2023,2024
38,30,27,2,15
41,27,16,4,13
46,36,27,7,13
38,25,50,20,17
28,75,68,15,26
35,24,25,9,18
50,13,77,4,10
28,126,42,32,6
54,36,48,20,10
63,44,36,26,4
24,25,44,15,11
21,62,51,17,1
67,37,34,10,7
40,49,31,11,11
22,20,32,22,0
29,62,31,5,7
33,0,46,9,5
26,70,14,13,13
25,48,22,5,8
14,44,56,12,15
28,23,20,10,3
15,26,25,12,6
27,116,4,17,3
22,44,24,10,12
12,57,17,20,7
32,46,17,10,6
40,76,30,21,8
50,55,62,14,15
23,33,25,14,14
22,35,27,30,2
39,25,14,7,4
26,14,2,31,4
34,25,20,16,6
52,90,8,0,6
51,0,34,18,6
71,47,2,21,2
44,49,6,51,6
51,41,6,14,5
54,37,14,6,3
39,24,6,6,8
38,79,5,6,1
32,0,9,7,12
49,45,2,13,13
42,15,4,5,0
33,32,5,11,5
36,43,4,10,13
47,0,1,13,26
60,83,5,10,14
86,24,3,11,6
48,94,4,6,5
11,0,7,6,2
10,110,25,6,4
