Semana,2020,2021,2022,2023,2024
1,38,30,27,2,15
2,41,27,16,4,13
3,46,36,27,7,13
4,38,25,50,20,17
5,28,75,68,15,26
6,35,24,25,9,18
7,50,13,77,4,10
8,28,126,42,32,6
9,54,36,48,20,10
10,63,44,36,26,4
11,24,25,44,15,11
12,21,62,51,17,1
13,67,37,34,10,7
14,40,49,31,11,11
15,22,20,32,22,0
16,29,62,31,5,7
17,33,0,46,9,5
18,26,70,14,13,13
19,25,48,22,5,8
20,14,44,56,12,15
21,28,23,20,10,3
22,15,26,25,12,6
23,27,116,4,17,3
24,22,44,24,10,12
25,12,57,17,20,7
26,32,46,17,10,6
27,40,76,30,21,8
28,50,55,62,14,15
29,23,33,25,14,14
30,22,35,27,30,2
31,39,25,14,7,4
32,26,14,2,31,4
33,34,25,20,16,6
34,52,90,8,0,6
35,51,0,34,18,6
36,71,47,2,21,2
37,44,49,6,51,6
38,51,41,6,14,5
39,54,37,14,6,3
40,39,24,6,6,8
41,38,79,5,6,1
42,32,0,9,7,12
43,49,45,2,13,13
44,42,15,4,5,0
45,33,32,5,11,5
46,36,43,4,10,13
47,47,0,1,13,26
48,60,83,5,10,14
49,86,24,3,11,6
50,48,94,4,6,5
51,11,0,7,6,2
52,10,110,25,6,4
